,SPY,TLT,BIL,BTC-USD
2020-01-01,100.19988951945014,99.92286912624316,100.0,100.17707576595815
2020-01-02,100.16594262949802,99.99996998455632,100.0,100.5738672934996
2020-01-03,100.38280147808139,100.02518579243782,100.0,100.47216532160856
2020-01-06,100.38593977456563,99.87755585295047,100.0,100.62446819183357
2020-01-07,100.25009947524492,100.1007115027258,100.0,100.4172341175641
2020-01-08,100.16888436943952,100.17023064194292,100.0,100.03524707959362
2020-01-09,100.30204899488139,100.27860970105719,100.0,100.25547521148411
2020-01-10,100.39050461683391,100.21421059817432,100.0,100.55737026178275
2020-01-13,100.4949686243817,100.1502130033004,100.0,100.88051734155249
2020-01-14,100.50360705892798,100.16981096497553,100.0,101.09293386614831
2020-01-15,100.5867076331715,100.12970750468173,100.0,101.17842818533116
2020-01-16,100.82851669672976,100.05530938451467,100.0,101.34725621167412
2020-01-17,100.68655245893943,99.92480390086553,100.0,101.78415397495837
2020-01-20,100.67584885789358,99.94204477503907,100.0,102.03633584393134
2020-01-21,100.65676784058914,100.04260828222948,100.0,102.08232414554033
2020-01-22,100.70767578692163,100.12025440866931,100.0,102.05020408095206
2020-01-23,100.92700545783269,100.14195994483678,100.0,102.46275695932094
2020-01-24,101.06083503874649,100.23977689999732,100.0,102.5013583338194
2020-01-27,100.95802356495014,100.22401283632654,100.0,102.34054018853904
2020-01-28,101.01339966194782,100.24173445091131,100.0,102.75513187190126
2020-01-29,100.95828760158501,100.3399895292982,100.0,102.67789479969186
2020-01-30,101.17663158556117,100.26900655968083,100.0,102.8955619880738
2020-01-31,101.12557924935767,100.30046905391559,100.0,103.01551883272494
2020-02-03,101.10833939259183,100.31237457913838,100.0,103.31429044877609
2020-02-04,101.1862260261507,100.16935900608856,100.0,103.38280515440549
2020-02-05,101.24395041441612,100.2038484044925,100.0,103.62167918718598
2020-02-06,101.18244635871204,100.2787529931306,100.0,103.51245729218056
2020-02-07,101.36260517124174,100.25034585108801,100.0,103.44328631818988
2020-02-10,101.32940026465299,100.33502960920652,100.0,103.36835664841537
2020-02-11,101.55442922310785,100.50198021906319,100.0,102.98749262867493
