,SPY,TLT,BIL,BTC-USD
2018-01-01,100.19657345271835,100.03314270457984,100.0,100.20093095017192
2018-01-02,100.33600077867104,100.10083116317348,100.0,99.95415449462664
2018-01-03,100.151506034373,100.14638599932574,100.0,99.76580431959565
2018-01-04,100.19211862100966,100.174124248257,100.0,99.32448845054488
2018-01-05,100.30977436878396,100.16603827083168,100.0,99.291758949584
2018-01-08,100.02225471076837,100.32631304153723,100.0,99.10616712763247
2018-01-09,100.01291847510832,100.4330426401911,100.0,99.11107900250909
2018-01-10,100.02487162048,100.45806687080048,100.0,99.1460393084122
2018-01-11,100.01255609617432,100.49676361071364,100.0,99.18718813909754
2018-01-12,100.21363745401412,100.39987092958592,100.0,99.45980628298292
2018-01-15,100.3609822632716,100.44852789838488,100.0,99.2228553587519
2018-01-16,100.40313060113512,100.47475376893672,100.0,99.26212838074116
2018-01-17,100.2775764941594,100.39370807025414,100.0,99.74096516232676
2018-01-18,100.25824397606452,100.35354607201975,100.0,99.8059522668938
2018-01-19,100.28706611714348,100.36014196747377,100.0,99.61799934804868
2018-01-22,100.41421818988628,100.5677874506945,100.0,99.82828964165472
2018-01-23,100.35177971033384,100.6898961139744,100.0,99.99444010337156
2018-01-24,100.39042027381352,100.686866761276,100.0,99.90793826926884
2018-01-25,100.42504434355462,100.5622918954692,100.0,99.60533178414072
2018-01-26,100.47546008410774,100.63287579148232,100.0,99.49921445742416
2018-01-29,100.5817628969465,100.78036676217884,100.0,99.31822664094278
2018-01-30,100.69204685336864,100.88510019323876,100.0,99.29683713885755
2018-01-31,100.79131814023508,100.93741566317972,100.0,99.05005333676692
2018-02-01,100.84989476050409,100.89177209256448,100.0,98.89079554224668
2018-02-02,100.87452697277664,100.93073623588896,100.0,98.84645640268783
2018-02-05,100.9754507634862,100.94888555620078,100.0,98.81577969688163
2018-02-06,101.01914826213276,101.05391468944336,100.0,98.6579914003812
2018-02-07,101.08651050755314,100.93335632974797,100.0,98.39910814009173
2018-02-08,101.1058044303308,100.95113723617416,100.0,98.3524583106568
2018-02-09,101.14097566180868,101.10218832216395,100.0,98.44333688246849
2018-02-12,101.33824256972956,101.17275246139292,100.0,98.76585222150796
2018-02-13,101.54815059293414,101.07567436438045,100.0,99.10679149892496
2018-02-14,101.70632456798346,101.17459215748512,100.0,99.22674707758938
2018-02-15,101.67946943243794,101.19422184910108,100.0,99.2867208495023
2018-02-16,101.6669954383853,101.25489756478514,100.0,99.69353350621869
2018-02-19,101.83438647652828,101.25927903859754,100.0,99.55512318390596
2018-02-20,101.8846348181527,101.19561907254295,100.0,99.67378238177388
2018-02-21,101.8913805486948,101.2048758579608,100.0,99.88834634431636
2018-02-22,101.86924587166784,101.43105613243848,100.0,99.82498202610432
2018-02-23,101.96296801653264,101.4974925810774,100.0,99.94022327123074
2018-02-26,101.89901973097496,101.54284696665049,100.0,99.8408316426726
2018-02-27,101.92224759116073,101.65020248565894,100.0,100.17026845456977
2018-02-28,101.91293440402733,101.68957335701025,100.0,100.0899552551232
2018-03-01,101.76163152823192,101.78448086102628,100.0,99.91802117700364
2018-03-02,101.8667336800743,101.8282830462857,100.0,99.65176911866048
2018-03-05,102.1061547812778,101.89290578993165,100.0,99.76988832668306
2018-03-06,102.26268869206646,101.91969356758432,100.0,99.86647832446737
2018-03-07,102.32946857073476,101.93291343543642,100.0,99.77697822564708
2018-03-08,102.3087221103433,101.98470269362636,100.0,99.34317191979326
2018-03-09,102.4128881031958,101.95746343996392,100.0,99.43584617275432
2018-03-12,102.57300529558736,101.95290073497326,100.0,99.43025163354258
2018-03-13,102.65790523166048,102.00066197626651,100.0,99.60953761260392
2018-03-14,102.7031997457405,102.0580416504571,100.0,99.62893136948772
2018-03-15,102.6063364595465,102.05939458950245,100.0,99.56579492819256
2018-03-16,102.76868585602936,102.07577275641732,100.0,99.66541667401737
2018-03-19,102.92301237748542,102.20489215274873,100.0,99.85391002099358
2018-03-20,103.04415214533223,102.34657530716508,100.0,99.65097654678635
2018-03-21,102.97441000319915,102.34800669838788,100.0,99.76991376700217
2018-03-22,102.81295621603068,102.43055910283589,100.0,99.91036878134936
2018-03-23,102.97382946872084,102.68247344932396,100.0,99.73354491870052
2018-03-26,103.08350910713474,102.67737404727605,100.0,99.7398250747172
2018-03-27,103.3278340076529,102.6443339799316,100.0,99.8820938040001
2018-03-28,103.29453141701892,102.74809086083962,100.0,100.1140553700208
2018-03-29,103.32115506723603,102.69841117673823,100.0,100.20781008250036
2018-03-30,103.4083473719561,102.8050954676398,100.0,99.5737464043039
2018-04-02,103.52126231929866,102.77511283031538,100.0,99.32373547654085
2018-04-03,103.43032351821346,102.6927444611606,100.0,99.75228238219098
2018-04-04,103.55666207439567,102.72099080123918,100.0,99.80965863287534
2018-04-05,103.604348144885,102.77772312538964,100.0,99.43534618806076
2018-04-06,103.58395715036475,102.8219544829564,100.0,99.39932216439212
2018-04-09,103.48860588101653,102.89785743906316,100.0,99.42601180223612
2018-04-10,103.448996436134,102.92816919772956,100.0,99.19013697457623
2018-04-11,103.67763435782165,103.03367931566729,100.0,99.14232985027938
2018-04-12,103.70182537043269,102.99920695434014,100.0,99.0243703753263
2018-04-13,103.63251909058503,103.0966242731318,100.0,99.04962289319823
2018-04-16,103.72979096041033,103.11097352528355,100.0,99.23152776042744
2018-04-17,103.73356289063358,103.20908868099856,100.0,99.25082552161486
2018-04-18,103.96457737828096,103.29496997670888,100.0,99.48305434819366
2018-04-19,104.1901355497602,103.34864869019732,100.0,99.42951021462952
2018-04-20,104.32329996193928,103.26856024689728,100.0,99.67327286071504
2018-04-23,104.41263418409407,103.32772453354347,100.0,99.87430788675196
2018-04-24,104.4533182011147,103.3454692621804,100.0,99.83672171056313
2018-04-25,104.5717273642874,103.50221525611934,100.0,99.77442909398953
2018-04-26,104.57703682160697,103.49049535629636,100.0,99.58203059445056
2018-04-27,104.65386840844994,103.41917165108994,100.0,99.8464340715862
2018-04-30,104.51782223018992,103.4346599904001,100.0,99.9751913980987
2018-05-01,104.68528497635194,103.46707672019006,100.0,99.88882482785304
2018-05-02,104.70928863490512,103.51112433332786,100.0,100.00358380973796
2018-05-03,104.77933022205303,103.5483625373239,100.0,100.32004400765378
2018-05-04,104.80563647471249,103.56232068933768,100.0,100.19647951343
2018-05-07,104.71250821825336,103.67546320200688,100.0,99.94487440670753
2018-05-08,104.6944568491728,103.68026871608116,100.0,99.62968260373488
2018-05-09,104.78587548121286,103.79092434245266,100.0,99.62267665959354
2018-05-10,104.8754457677445,103.84767555482158,100.0,99.43235395738468
2018-05-11,104.95946435030416,103.8909399330994,100.0,99.3813018882548
2018-05-14,105.07763962140744,103.92149064106574,100.0,99.4142763188928
2018-05-15,105.09323622697563,103.93593405116962,100.0,99.62296112185288
2018-05-16,105.18122616738742,104.03888313851633,100.0,99.41025032835697
2018-05-17,105.21795512718846,104.03258577402806,100.0,99.77537178221873
2018-05-18,105.29337574035996,103.89874509548804,100.0,99.7444578314134
2018-05-21,105.2511693038476,103.95234206988094,100.0,99.9492576805062
2018-05-22,105.27717854198391,103.98668195387512,100.0,99.99242109781288
2018-05-23,105.45102537425504,103.90592239042562,100.0,100.50462642360976
2018-05-24,105.54656838138456,104.03520179465907,100.0,100.2845657650304
2018-05-25,105.63211507849836,104.07014933359288,100.0,100.31607549647596
2018-05-28,105.54245786536168,104.20086076314044,100.0,99.96459366766962
2018-05-29,105.62003941408176,104.26090017387544,100.0,100.15351605651264
2018-05-30,105.68538960216812,104.2279108024158,100.0,100.34027137988808
2018-05-31,105.72736807032486,104.32641352040064,100.0,100.69587389036003
2018-06-01,105.76152559135946,104.26734742906405,100.0,100.79099475018776
2018-06-04,105.8784264062375,104.28070172577262,100.0,100.9080327370576
2018-06-05,105.92044178596164,104.30058745202828,100.0,100.93967894105307
2018-06-06,105.83693700026356,104.43724320435956,100.0,101.15316579556504
